2025-04-28 23:51:09.113330: Hyderabad | 31.29°C | few clouds | Humidity: 33%
2025-04-28 23:51:09.249789: Nuzvid | 27.78°C | scattered clouds | Humidity: 73%
2025-04-28 23:51:09.364420: Delhi | 35.8°C | clear sky | Humidity: 9%
2025-04-28 23:51:09.442220: Vijayawada | 28.45°C | few clouds | Humidity: 72%
2025-04-28 23:51:09.619716: Antarctica | -52.65°C | broken clouds | Humidity: 100%
2025-04-28 23:51:09.927364: New York | 23.18°C | clear sky | Humidity: 26%
2025-04-28 23:51:10.055055: London | 18.41°C | broken clouds | Humidity: 48%
2025-04-28 23:51:10.128949: Tokyo | 15.73°C | overcast clouds | Humidity: 73%
2025-04-28 23:51:10.335228: nellore | 27.45°C | broken clouds | Humidity: 81%
2025-04-29 00:26:37.291829: Hyderabad | 30.63°C | clear sky | Humidity: 37%
2025-04-29 00:26:37.449878: Nuzvid | 27.29°C | clear sky | Humidity: 75%
2025-04-29 00:26:37.615638: Delhi | 33.35°C | clear sky | Humidity: 18%
2025-04-29 00:26:37.742254: Vijayawada | 28.13°C | clear sky | Humidity: 74%
2025-04-29 00:26:37.912375: Antarctica | -52.37°C | overcast clouds | Humidity: 100%
2025-04-29 00:26:38.004445: New York | 23.82°C | clear sky | Humidity: 24%
2025-04-29 00:26:38.103438: London | 16.35°C | clear sky | Humidity: 54%
2025-04-29 00:26:38.283353: Tokyo | 15.52°C | overcast clouds | Humidity: 73%
2025-04-29 00:26:38.478987: nellore | 27.25°C | clear sky | Humidity: 80%
2025-04-29 00:42:03.778591: Hyderabad | 30.63°C | clear sky | Humidity: 37%
2025-04-29 00:42:04.005370: Nuzvid | 27.29°C | clear sky | Humidity: 75%
2025-04-29 00:42:04.213126: Delhi | 33.35°C | clear sky | Humidity: 18%
2025-04-29 00:42:04.332719: Vijayawada | 28.13°C | clear sky | Humidity: 74%
2025-04-29 00:42:04.545356: Antarctica | -52.37°C | overcast clouds | Humidity: 100%
2025-04-29 00:42:04.670657: New York | 23.77°C | clear sky | Humidity: 25%
2025-04-29 00:42:04.765212: London | 16.35°C | clear sky | Humidity: 54%
